id,text
1919,File Share Access - [TICKET ID] - [NAME]. [NAME] ([COMPANY]. [LOCATION])
1584,File Share Access - [TICKET ID] - [NAME] ([COMPANY]A. [LOCATION])
584,[TICKET ID] - A Support Ticket was forwarded to your role  - Leaving Employee - [TICKET ID] - [NAME] ([COMPANY]. [LOCATION])
1393,[TICKET ID] - A Support Ticket was forwarded to your role  - check_mk SD Hostalarm: ([LOCATION]-WSUS01) [COMPANY] [SERVER] -[LOCATION]Server - UP -> DOWN
8636,LVS not respondingLVS will not except my password to let me log on. 
1033,[TICKET ID] - New Support Ticket received  - Phone user message
2248,File Share Access - [TICKET ID] - [NAME] ([COMPANY]A. [LOCATION])
3017,File Share Access - [TICKET ID] -Service Request: File Share Access     Grant access to file share for the following user:   (Username: )  Access Type: (RW) Read / Write  File Share:  J:/[COMPANY]/HR     Requestor: [NAME] ([COMPANY]. [LOCATION])  Comment:
6671,Java Installation on [SERVER]
1892,Shared Mailbox Access - [TICKET ID] - [EMAIL]
998,[TICKET ID] - A Support Ticket was forwarded to your role  - Alteração de aprovador
2211,File Share Access - [TICKET ID] - [NAME] ([COMPANY]. [LOCATION])
625,[TICKET ID] - New Support Ticket received  - Basis User - [USERNAME] - [NAME] ([COMPANY]. [LOCATION])
8458,Basis User - [TICKET ID] -Service Request: Basis User     Create Windows account for internal user       Firstname:  [NAME]  Lastname:  [NAME]  Cost Center:  813330  Company:    Department:  [ADDRESS]-[ADDRESS]:    ZIP:    City:    Country:    Office:       Important: Please set the EA10 to the following value: 13672 (leave blank. when empty)  Please create Exchange and Skype account.  The user needs at least the following access permissions:  Access to [SOFTWARE] ([SERVER])  Requestor:  [NAME] ([COMPANY]. [LOCATION])     Desired date:  Jan 15 2019 12:00AM     Additional information:
1267,[TICKET ID] - New Support Ticket received  - [NAME] Access
2232,Remove File Share Access - [TICKET ID] - [NAME] ([COMPANY]A. [LOCATION])
2090,File Share Access - [TICKET ID] - [NAME] ([COMPANY]. [LOCATION])
3696,The following system must be set to End Of Life in Nexthink and checked for[LOCATION]reservations:  [SERVER]  -Automated ticket creation-Please remove the system from Nexthink according to the[LOCATION]process and please verify if any[LOCATION]reservations exist. If yes. please remove reservations and note down the corresponding IP(s) and inform [COMPANY] network team to remove firewall rules if there are any.
1893,Shared Mailbox Access - [TICKET ID] - [EMAIL]
1606,File Share Access - [TICKET ID] - [NAME] ([COMPANY] [LOCATION])
611,[TICKET ID] - New Support Ticket received  - Light User for external - [TICKET ID] - [NAME]
588,[TICKET ID] - A Support Ticket was forwarded to your role  - merge mailgroup [EMAIL] with invoice-uk
1661,File Share Access - [TICKET ID] - [NAME] (EXTERNAL. [LOCATION])
1727,File Share Access - [TICKET ID] - [NAME] ([COMPANY]. [LOCATION])
591,[TICKET ID] - A Support Ticket was forwarded to your role  -[LOCATION]1.0 deactivation on [IP_ADDRESS] (DNS: [COMPANY].de / Netbios: [COMPANY]UP/[SERVER]) 
2781,Recover File on Fileserver
1800,File Share Access - [TICKET ID] - [NAME] ([COMPANY]A. [LOCATION])
1617,File Share Access - [TICKET ID] - [NAME] ([COMPANY]A. [LOCATION])
759,[TICKET ID] - New Support Ticket received  - Create[LOCATION]entry [COMPANY]up.ads.dir  
1909,File Share Access - [TICKET ID] - [NAME] ([COMPANY]A. [LOCATION])
3820,Emails undeliverableEmails sent to [EMAIL] mailto:[EMAIL] are not working.
7375,Acesso Admin no AD
